retailerUniqueId,locationUniqueId,isDeliveryLocationNotAvailable,isPickupLocationNotAvailable
097d10d6d62c258eda9b0d947fdaa03e,a87827c59a521681633cd2741044df54,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,79adc412d85e220ee98808b5cf139650,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,b3db55ce7ec9ca8b0670a6b5da9dff77,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,dab831bb6232369e5b636b6ac395439f,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,8677c5931caccb37f6571b8b02dbd899,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,5b17bf09df8e63bd2abcc9e3d0d7af79,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,7a6549552d7b8bdb1dee863f64396a3a,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,9081f5e4894916bb52e1eac6ca0ddf94,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,2ba39a78865903e31a21d0f3173aa151,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,b40e62726d6afcee1fae1622ab4b96b8,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,c8c7cd1714f6c69aaae522a0260fb0e6,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,6e0c8f39c5968b07b3a723b964d87bdb,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,25024d8adf11a807abf2ed6a6cef8c54,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,30fe99ffef5675ad454ee8c55801eb50,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,b692b460a2321482266c48d593fa045a,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,0534f4d68675fe5b217f13023e48deea,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,eda1c11f6c6808076b33b06bb0311845,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,37f3ecaf2d177e5e5edfed5034ecef2f,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,fbf07d048e1912650ef91925d9470dde,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,8c59e481fd39acef1dd319d7f7c6c0df,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,06cdaa4d050a4b15fc054cf998e21d2f,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,fcb868cd7eb84275e0296c29ea98704a,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,5b1a37e76ff8065ace15ac14dae87886,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,7264b199c11df3b011259e47227b1998,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,98ab9307fd30a88c46ffe17cc56cd42c,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,50c964de83bfb8ddbf914145411909a2,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,737962c1bfed7a1ad714d49bb6db5e82,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,43506ad2a18cab9aa1851d202ada4701,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,c7114d984615cac6da6488099bc75466,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,f91a115cf358089343eded69888c8908,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,6c0413a3961a5181aa0ed8dc99a2b82f,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,dafdfbe732872e733e561fb3877494db,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,8d69e1dd308265feb60707c0645f7a6f,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,03a0ec0b6b331ccc6ebc54f9dcc45561,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,95bac04257a2861e1d4d548973fea11e,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,9cabddad942d283af83d32e1c2c96c8f,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,786b5637080364414bdc0d8236250ee2,Y,Y
097d10d6d62c258eda9b0d947fdaa03e,75178c237c30c66cc3cddcccb982f00f,Y,Y
