itemCategoryName,modifierDisplayName,modifierDisplayDescription,modifierId,maxQuantity,minQuantity,isRequired,isActive,uniqueRetailerItemId,uniqueId,modifierDisplaySequence,version
Choose Size,Choose Size,,166,1,1,Y,Y,den_mcdonalds_b_2_item_98,den_mcdonalds_b_2_item_98_mod_1,1,
Customize,Customize,,167,0,0,N,Y,den_mcdonalds_b_2_item_98,den_mcdonalds_b_2_item_98_mod_2,2,
Choose Size,Choose Size,,168,1,1,Y,N,den_mcdonalds_b_2_item_144,den_mcdonalds_b_2_item_144_mod_1,1,
Add,Add,,169,0,0,N,N,den_mcdonalds_b_2_item_144,den_mcdonalds_b_2_item_144_mod_2,2,
Choose Size,Choose Size,,170,1,1,Y,N,den_mcdonalds_b_2_item_145,den_mcdonalds_b_2_item_145_mod_1,1,
Customize,Customize,,171,0,0,N,N,den_mcdonalds_b_2_item_145,den_mcdonalds_b_2_item_145_mod_2,2,
Add,,,172,0,0,N,N,den_mcdonalds_b_2_item_145,den_mcdonalds_b_2_item_145_mod_3,3,
Choose Size,Choose Size,,173,1,1,Y,N,den_mcdonalds_b_2_item_147,den_mcdonalds_b_2_item_147_mod_1,1,
Milk,Milk,,174,1,1,Y,N,den_mcdonalds_b_2_item_147,den_mcdonalds_b_2_item_147_mod_2,2,
Customize,Customize,,175,0,0,N,N,den_mcdonalds_b_2_item_147,den_mcdonalds_b_2_item_147_mod_3,3,
Add,,,176,0,0,N,N,den_mcdonalds_b_2_item_147,den_mcdonalds_b_2_item_147_mod_4,4,
