airportIataCode,terminal,terminalDisplayName,concourse,concourseDisplayName,gate,locationDisplayName,gateDisplayName,displaySequence,geoPointLocation,isDefaultLocation,includeInGateMap,gpsRangeInMeters,isPresecurityLocation,requiresDeliveryInstructions,deliveryLimitedToPerHourOffset
TPA,MT,Main Terminal ,,,-10,Terminal - LVL 2 Red Yeager Elevators ,LVL 2 Red Yeager Elevators ,12,"27.98016899361146, -82.53487824072839",N,Y,50,Y,N,0
TPA,MT,Main Terminal ,,,-11,Terminal - LVL 1 Blue Earhart Elevators ,LVL 1 Blue Earhart Elevators ,3,"27.979858695345932, -82.53447993268692",N,Y,50,Y,N,0
TPA,MT,Main Terminal ,,,-12,Terminal - LVL 1 Red Sikorsky Elevators ,LVL 1 Red Sikorsky Elevators ,7,"27.980158334525555, -82.53448932041852",N,Y,50,Y,N,0
TPA,MT,Main Terminal ,,,-13,Terminal - LVL 2 Blue Earhart Elevators ,LVL 2 Blue Earhart Elevators ,10,"27.979858695345932, -82.53447993268692",N,Y,50,Y,N,0
TPA,MT,Main Terminal ,,,-14,Terminal - LVL 2 Red Sikorsky Elevators ,LVL 2 Red Sikorsky Elevators ,11,"27.980158334525555, -82.53448797931402",N,Y,50,Y,N,0
TPA,MT,Main Terminal ,,,-15,Terminal - LVL 1 Blue Armstrong Elevators  ,LVL 1 Blue Armstrong Elevators  ,2,"27.979856326653454, -82.53488762846",N,Y,50,Y,N,0
TPA,MT,Main Terminal ,,,-16,Terminal - LVL 2 Blue Armstrong Elevators  ,LVL 2 Blue Armstrong Elevators  ,9,"27.979856326653454, -82.53488762846",N,Y,50,Y,N,0
TPA,MT,Main Terminal ,,,-17,Terminal - LVL 3 Adjacent Hard Rock Patio ,LVL 3 Adjacent Hard Rock Patio ,14,"27.980141753727352, -82.53374768962104",N,Y,50,Y,N,0
TPA,MT,Main Terminal ,,,-18,Terminal - LVL 1 Red Ground Transportation,LVL 1 Red Ground Transportation,6,"27.980369147362502, -82.53354652394316",N,Y,50,Y,N,0
TPA,MT,Main Terminal ,,,-19,Terminal - LVL 3 Food Court Smoking Area,LVL 3 Food Court Smoking Area,18,"27.98034546054745, -82.53533823957751",N,Y,50,Y,N,0
TPA,MT,Main Terminal ,,,-20,Terminal - LVL 1 Blue Ground Transportation ,LVL 1 Blue Ground Transportation ,4,"27.979665646737867, -82.53578616848611",N,Y,50,Y,N,0
TPA,MT,Main Terminal ,,,-21,Terminal - LVL 3 Adjacent P.F. Chang's Patio,LVL 3 Adjacent P.F. Chang's Patio,15,"27.97983856146236, -82.53367526997715",N,Y,50,Y,N,0
TPA,n-Car,Rental Car Center ,,,-1,Rental Car Center - LVL 3 Info Center,LVL 3 Info Center,1,"27.96370683590126, -82.53461806641927",N,Y,50,Y,N,0
TPA,n-Car,Rental Car Center ,,,-2,Rental Car Center - LVL 2 Car Garage,LVL 2 Car Garage,2,"27.96370683590126, -82.53461806641927",N,Y,50,Y,N,0
TPA,n-Car,Rental Car Center ,,,-3,Rental Car Center - LVL 1 Car Garage,LVL 1 Car Garage,3,"27.96370683590126, -82.53461806641927",N,Y,50,Y,N,0
